"Position","Title and Authors","Resource Link","Thumbnail Image"
1,"Direct photodegradation of carbamazepine followed by micellar electrokinetic chromatography and mass spectrometry /Vania Calisto and others [03-04-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=21&material_type=2&dmd_id=239592","https://thuvien.ntu.edu.vn/images/no-image.png"
2,"Biochemical oxygen demand and nutrient processing in a novel multi-stage raw municipal wastewater and acid mine drainage passive co-treatment system /W.H. Strosnider, B.K. Win ... [03-04-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=21&material_type=2&dmd_id=239591","https://thuvien.ntu.edu.vn/images/no-image.png"
3,"Synthetic musk emissions from wastewater aeration basins /Nabin Upadhyay and others [03-04-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=21&material_type=2&dmd_id=239590","https://thuvien.ntu.edu.vn/images/no-image.png"
4,"Investigating synergism during sequential inactivation of MS-2 phage and Bacillus subtilis spores with UV/H 2 O 2 followed by free chlorine /Min Cho and others [03-04-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=21&material_type=2&dmd_id=239589","https://thuvien.ntu.edu.vn/images/no-image.png"
5,"The role of biomass, electron shuttles, and ferrous iron in the kinetics of Geobacter sulfurreducens-mediated ferrihydrite reduction /Luke H. MacDonald, Hee Sun Moon, Peter R. ... [03-04-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=21&material_type=2&dmd_id=239588","https://thuvien.ntu.edu.vn/images/no-image.png"
6,"Effect of selected metal ions on the photocatalytic degradation of bog lake water natural organic matter /Luis A. Tercero Espinoza and others [03-04-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=21&material_type=2&dmd_id=239587","https://thuvien.ntu.edu.vn/images/no-image.png"
7,"Surveillance of adenoviruses and noroviruses in European recreational waters /A. Peter Wyn-Jones and others [03-04-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=21&material_type=2&dmd_id=239586","https://thuvien.ntu.edu.vn/images/no-image.png"
8,"Direct photodegradation of carbamazepine followed by micellar electrokinetic chromatography and mass spectrometry /Daniel Stalter and others [03-04-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=21&material_type=2&dmd_id=239585","https://thuvien.ntu.edu.vn/images/no-image.png"
9,"Inﬂuence of sampling strategies on the monitoring of cyanobacteria in shallow lakes: Lessons from a case study in France /David Pobel, Joel Robin, Jean-Francois Humbert [03-04-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=21&material_type=2&dmd_id=239584","https://thuvien.ntu.edu.vn/images/no-image.png"
10,"Feature selection methods for characterizing and classifying adaptive Sustainable Flood Retention Basins /Qinli Yang and others [03-04-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=21&material_type=2&dmd_id=239583","https://thuvien.ntu.edu.vn/images/no-image.png"
11,"A combined approach for a better understanding of wastewater treatment plants operation: Statistical analysis of monitoring /A.C. Avella and others [03-04-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=21&material_type=2&dmd_id=239582","https://thuvien.ntu.edu.vn/images/no-image.png"
12,"Assessing the public health risk of microbial intrusion events in distribution systems: Conceptual model, available data /Marie-Claude Besner, Michele Prevost, Stig Regli [03-04-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=21&material_type=2&dmd_id=239581","https://thuvien.ntu.edu.vn/images/no-image.png"
