url,title,alternative_title,publisher_info,journal_info,year,pages,ddc,authors,subjects,type
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=235679,Food and beverage service :A training manual /Suzanne Weekes,,"Boston [etc.] :McGraw-Hill Higher Education,2013",,2013.0,"xii, 409 p. :ill. ;24 cm",658.812,"Weekes, Suzanne::author",Food-Beverage|Customer service,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=235290,Smart antennas for wireless communications :With matlab /Frank B. Gross,,"New York :McGraw-Hill,2005",,2005.0,270 p. :ill. ;23 cm,621.3824,"Gross, Frank B.::author",Adaptive antennas,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=235278,Reactive intermediates :MS investigations in solution /edited by Leonardo S. Santos,,"Weinheim :Wiley-VCH,2010",,2010.0,"xxiv, 317 p. :ill. ;25 cm",547.2,"Santos, Leonardo S.::contributor",Electrospray ionization mass spectrometry|Chemical reactions|Intermediates (Chemistry),book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=235271,"Antennas and propagation for body-centric wireless communications /Peter S. Hall, Yang Hao, editors",,"Boston :Artech House,2006",,2006.0,"xiii, 291 p. :ill. ;26 cm",4.16,"Hall, Peter S.::contributor|Hao, Yang::contributor",Wireless communication systems|Antennas (Electronics)|Wearable computers- Design and construction,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=235216,Economics for dummies /Sean Masaki Flynn,,"Hoboken, NJ :John Wiley & Sons, Inc.,2018",,2018.0,"xiii, 410 pages :illustrations ;24 cm",330.0,"Flynn, Sean Masaki::author",Economics,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=235208,Analyzing biomolecular interactions by mass spectrometry /edited by Jeroen Kool and Wilfried M.A. Niessen,,"Weinheim :Wiley-VCH Verlag GmbH & Co. KGaA,2015",,2015.0,378 p. :ill. ;25 cm,543.0873,"Kool, Jeroen::contributor|Niessen, Wilfried M.A.::contributor",Mass spectrometry|Biomolecules- Analysis,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=235197,"Mass spectrometry basics /Christopher G. Herbert, Robert A.W. Johnstone",,"Boca Raton :CRC Press,2003",,2003.0,474 p. :ill. ;26 cm,543.0873,"Herbert, Christopher G.::author|Johnstone, Robert A. W.::contributor",Spectrum Analysis|Mass spectrometry,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=235189,"Low-cost smart antennas /Qi Luo and Steven (Shichang) Gao, Wei Liu, Chao Gu",,"Hoboken, NJ :Wiley,2019",,2019.0,268 p.,621.3841,"Luo, Qi::author|Gao, Steven::contributor|Gu, Chao::contributor|Liu, Wei::contributor",Adaptive antennas,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=235181,Understanding reading :A psycholinguistic analysis of reading and learning to read /Frank Smith,,"Mahwah, N.J. :L. Erlbaum Associates,2004",,2004.0,"xii, 374 p. :ill. ;24 cm",372.4,"Smith, Frank::author","Learning, Psychology of|Written communication|Reading",book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=235042,Optimizing and assessing information technology :Improving business project execution /K. Scott Proctor,,"Hoboken, N.J. :Wiley,2011",,2011.0,"xvi, 233 p. :ill. ;24 cm",658.4,"Proctor, K. Scott::author",Information technology|Project management,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=235035,Integrated strategies for drug discovery using mass spectrometry /edited by Mike S. Lee,,"Hoboken, N.J. :Wiley-Interscience,2005",,2005.0,"xvii, 550 p. :ill. ;24 cm",615.19,"Lee, Mike S.::contributor",Mass spectrometry|High throughput screening (Drug development),book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=235027,Exercises in synthetic organic chemistry /Chiara Ghiron and Russell J. Thomas,,"Oxford :Oxford University Press,1997",,1997.0,"xv, 123 p. :ill. ;30 cm",547.2,"Ghiron, Chiara::author|Thomas, Russell J.::contributor",Organic compounds,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=235024,Writing securities research :A best practice guide /Jeremy Bolland,,"Hoboken, NJ :Wiley,2010",,2010.0,"xlviii, 300 p. :ill. ;24 cm",332.632,"Bolland, Jeremy F.::author",Report writing|Conflict of interests|Investment analysis,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=235020,The truth about testing :An educator's call to action /W. James Popham,,"Alexandria, Va. :Association for Supervision and Curriculum Development,2001",,2001.0,"iv, 167 p. ;24 cm",371.26,"Popham, W. James::author",Education|Educational tests and measurements,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=235013,"Strategic global sourcing best practices /Fred Sollish, John Semanik",,"Hoboken, N.J. :Wiley,2011",,2011.0,"x, 229 p. :ill. ;24 cm",658.7,"Sollish, Fred::author|Semanik, John::contributor",Business logistics|Industrial procurement|Strategic planning,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=235006,"Spend analysis :The window into strategic sourcing /Kirit Pandit, H. Marmanis",,"Ft. Lauderdale, FL :J. Ross Pub.,2008",,2008.0,"xxi, 249 p. :ill. ;24 cm",658.7,"Pandit, Kirit::author|Marmanis, H.::contributor",Business logistics|Industrial procurement|Data warehousing,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=234996,"Promoting property :Insight, experience and best practice /edited by Penny Norton and Liz Male",,"New York, NY :Routledge,2020",,2020.0,214 p.,659.2,"Male, Liz::contributor|Norton, Penny::contributor",Public relations|Real property,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=234989,"Smart manufacturing innovation and transformation :Interconnection and intelligence /Zongwei Luo, editor",,"Hershey, PA :Business Science Reference,2014",,2014.0,"xxv, 407 pages ;29 cm",670.0,"Luo, Zongwei::contributor",Production engineering|Manufacturing processes|Flexible manufacturing systems,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=234920,"Inclusive education :International policy and practice /Ann Cheryl Armstrong, Derrick Armstrong, Ilektra Spandagou",,"Los Angeles :Sage,2010",,2010.0,"xiii, 162 p. :ill. ;24 cm",371.9,"Armstrong, Ann Cheryl::author|Armstrong, Derrick::contributor|Spandagou, Ilektra::contributor",Inclusive education|Mainstreaming in education,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=234910,Current best practice in interventional cardiology /edited by Bernhard Meier,,"Hoboken, NJ :Wiley-Blackwell,2010",,2010.0,"x, 219 p. :ill. ;26 cm",617.4,"Meier, Bernhard::contributor",Diagnostic Imaging|Heart Diseases- Surgery|Cardiovascular Diseases,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=234749,The geography of money /Benjamin J. Cohen,,"Ithaca :Cornell University Press,1998",,1998.0,"xv, 229 p. ;24 cm",332.042,"Cohen, Benjamin J.::author",International finance|International trade,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=234746,"The big data-driven business :How to use big data to win customers, beat competitors, and boost profits /Russell Glass, Sean Callahan",,"Hoboken :Wiley,2014",,2014.0,214 p.,658.8,"Glass, Russell::author|Callahan, Sean::contributor",Internet marketing|Consumer behavior|Business communication,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=234740,A guide to chalcogen-nitrogen chemistry /Tristram Chivers,,"Hackensack, NJ :World Scientific,2005",,2005.0,"xix, 318 p. :ill. ;24 cm",546.72,"Chivers, Tristram::author",Chalcogenides|Nitrogen compounds|Chemistry,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=234731,Blaming the brain :The truth about drugs and mental health /Elliot S. Valenstein,,"New York :Free Press,1988",,1988.0,"xi, 292 p. :ill. ;24 cm",616.89,"Valenstein, Elliot S.::author",Brain- ffect of drugs on|Deceptive advertising|Medical misconceptions,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=234678,The truth about managing people ... and nothing but the truth /Stephen P. Robbins,,"Upper Saddle River, NJ :Prentice Hall,2003",,2003.0,211 p.,658.3,"Robbins, Stephen P.::author",Supervision of employees,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=234386,Attacking currency trends :How to anticipate and trade big moves in the forex market /Greg Michalowski,,"Hoboken, N.J. :Wiley,2011",,2011.0,"xi, 287 p. :ill. ;24 cm",332.4,"Michalowski, Greg::author",Foreign exchange market|Investments,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=234377,"Rubber and the making of Vietnam :An ecological history, (1897-1975) /Michitake Aso",,"Chapel Hill :The University of North Carolina Press,2018",,2018.0,"xvii, 405 pages :ill. ;24 cm",338.173,"Aso, Michitake::author",Rubber plantations|Vietnam- Politics and government,book
