"Position","Book Title and Authors","Book Details Link","Book Thumbnail"
1,"Hóa sinh thực phẩm /Đàm Sao Mai (chủ biên) và nhóm tác giả [02-03-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=237569","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/600_khoahocungdung_congnghe/660_kythuathoahoc/hoasinhthucpham_damsaomai/0hoasinhthucpham_damsaomai_001_thumbimage.jpg"
2,"Giáo trình Quản lý chất lượng và luật thực phẩm /Lê Nguyên Đoan Huy, Nguyễn Công Hà [28-01-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=235989","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/600_khoahocungdung_congnghe/660_kythuathoahoc/giaotrinhquanlychatluongvaluatthucpham_lenguyendoanhuy/0giaotrinhquanlychatluongvaluatthucpham_lenguyendoanhuy_001_thumbimage.jpg"
3,"Giáo trình giảng dạy bậc đại học: Hành vi người tiêu dùng - Định hướng ứng dụng /Hồ Huy Tựu [23-01-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=235673","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/600_khoahocungdung_congnghe/650_quanly_dichvuphuthuoc/giaotrinhgiangdaybacdaihoc_hanhvinguoitieudung_hohuytuu/0giaotrinhgiangdaybacdaihoc_hanhvinguoitieudung_hohuytuu_001_thumbimage.jpg"
4,"Miễn dịch học /Đại học Y Hà Nội [11-11-2025]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=231088","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/600_khoahocungdung_congnghe/610_yhoc/miendichhoc_daihocyhanoi/0miendichhoc_001_thumbimage.jpg"
5,"Dinh dưỡng trong nuôi trồng thủy sản /Phạm Đức Hùng [16-01-2025]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=216068","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/630_nongnghiep_congnghelienhe/bg_dinhduongtrongnuoitrongthuysan_phamduchung/0bg_dinhduongtrongnuoitrongthuysan_phamduchung_001thumbimage.jpg"
6,"Phân tích tài chính doanh nghiệp /Võ Văn Cần [10-01-2025]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=215972","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/650_quanly_dichvuphuthuoc/bg_phantichtaichinhdoanhnghiep_vovancan/0bg_phantichtaichinhdoanhnghiep_vovancan_001thumbimage.jpg"
7,"Bài giảng Quản lý và khai thác cảng (Tài liệu lưu hành nội bộ) /Hồ Đức Tuấn [06-01-2025]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=215498","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/620_congnghe_hoatdonglienhe/quanlyvakhaithaccang_hoductuan/0quanlyvakhaithaccang_hoductuan_01thumbimage.jpg"
8,"Cảng nội địa (Lưu hành nội bộ) /Bộ môn Khoa học Hàng hải [06-01-2025]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=215496","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/620_congnghe_hoatdonglienhe/cangnoidia_bomonhanghai/0cangnoidia_bomonhanghai_01thumbimage.jpg"
9,"Giám định hàng hải:Tài liệu tham khảo /Nguyễn Thái Vũ [06-01-2025]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=215490","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/300_khoahocxahoi/380_thuongmai_truyenthong_vantai/giamdinhhanghoa_nguyenthaivu/0giamdinhhanghoa_nguyenthaivu_001thumbimage.jpg"
10,"Kế toán tài chính 3 [06-01-2025]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=215483","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/650_quanly_dichvuphuthuoc/ketoantaichinh3/ketoantaichinh3_001thumbimage.jpg"
11,"Giới thiệu hệ thống báo cáo tài chính /Võ Văn Cần [06-01-2025]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=215482","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/650_quanly_dichvuphuthuoc/bg_gioithieuhethongbaocaotaichinh_vovancan/0bg_gioithieuhethongbaocaotaichinh_vovancan_001thumbimage.jpg"
12,"Bài giảng Thiết bị tàu thủy :Lưu hành nội bộ /Nguyễn Thái Vũ [06-01-2025]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=215464","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/620_congnghe_hoatdonglienhe/bgthietbitauthuy_nguyenthaivu/0biathumbimage.jpg"
13,"Ươm giống và Trồng thương phẩm rong biển /Lê Anh Tuấn [02-01-2025]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=215314","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/630_nongnghiep_congnghelienhe/bg_uomvatrongthuongphamrongbien_leanhtuan/0uomvatrongthuongphamrongbien_leanhtuan_01thumbimage.jpg"
14,"Kỹ thuật Sản xuất giống và trồng Rong biển :Bài giảng dành cho sinh viên các lớp Nuôi trồng thủy sản /Lê Anh Tuấn [02-01-2025]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=215292","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/630_nongnghiep_congnghelienhe/bg_kythuatsxgiongvanuoirongbien_leanhtuan/0bg_kythuatsxgiongvanuoirongbien_leanhtuan_001thumbimage.jpg"
15,"Quy hoạch và Phát triển Thủy sản /Lê Anh Tuấn [02-01-2025]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=215261","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/630_nongnghiep_congnghelienhe/bg_quyhoachvaphattrienntts_leanhtuan/0bg_quyhoachvaphattrienntts_leanhtuan_001thumbimage.jpg"
16,"Chuẩn mực báo cáo tài chính quốc tế [02-01-2025]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=215249","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/650_quanly_dichvuphuthuoc/chuanmucbaocaotaichinhquocte/chuanmucbaocaotaichinhquocte_001thumbimage.jpg"
17,"Lập và phân tích báo cáo tài chính theo IFRS [02-01-2025]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=215242","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/650_quanly_dichvuphuthuoc/lapvaphantichbaocaotaichinhtheoifrs/lapvaphantichbaocaotaichinhtheoifrs_001thumbimage.jpg"
18,"Kỹ thuật nuôi trồng thủy sản /Trần Văn Dũng [31-12-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=215228","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/630_nongnghiep_congnghelienhe/bg_kythuatntts_tranvandung/0bg_kythuatntts_tranvandung_001thumbimage.jpg"
19,"Kiểm tra vật liệu và NDT /Huỳnh Văn Vũ [31-12-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=215225","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/620_congnghe_hoatdonglienhe/kiemtravatlieuvandt_huynhvanvu/0kiemtravatlieuvandt_huynhvanvu_01thumbimage.jpg"
20,"Phương pháp nghiên cứu khoa học /Huỳnh Văn Vũ [31-12-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=215224","https://thuvien.ntu.edu.vn/ntukiposdata10/sachdientu/tiengviet/000_tongquat/000_tongquat/phuongphapnghiencuukhoahoc_huynhvanvu/0phuongphapnghiencuukhoahoc_huynhvanvu_001thumbimage.jpg"
21,"Kỹ thuật Hàn tàu thủy. Phần 2 /Huỳnh Văn Vũ [31-12-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=215222","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/620_congnghe_hoatdonglienhe/kythuathantauthuy_huynhvanvu/0kythuathantauthuy_huynhvanvu_001thumbimage.jpg"
22,"Quy hoạch và quản lý nuôi trồng thủy sản /Lê Anh Tuấn [31-12-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=215216","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/630_nongnghiep_congnghelienhe/bg_quyhoachvaquanlyntts_leanhtuan/0bg_quyhoachvaquanlyntts_leanhtuan_001thumbimage.jpg"
