id,name
A1,"Weekes, Suzanne"
A2,"Gross, Frank B."
A3,"Santos, Leonardo S."
A4,"Hall, Peter S."
A5,"Hao, Yang"
A6,"Flynn, Sean Masaki"
A7,"Kool, Jeroen"
A8,"Niessen, Wilfried M.A."
A9,"Herbert, Christopher G."
A10,"Johnstone, Robert A. W."
A11,"Luo, Qi"
A12,"Gao, Steven"
A13,"Gu, Chao"
A14,"Liu, Wei"
A15,"Smith, Frank"
A16,"Proctor, K. Scott"
A17,"Lee, Mike S."
A18,"Ghiron, Chiara"
A19,"Thomas, Russell J."
A20,"Bolland, Jeremy F."
A21,"Popham, W. James"
A22,"Sollish, Fred"
A23,"Semanik, John"
A24,"Pandit, Kirit"
A25,"Marmanis, H."
A26,"Male, Liz"
A27,"Norton, Penny"
A28,"Luo, Zongwei"
A29,"Armstrong, Ann Cheryl"
A30,"Armstrong, Derrick"
A31,"Spandagou, Ilektra"
A32,"Meier, Bernhard"
A33,"Cohen, Benjamin J."
A34,"Glass, Russell"
A35,"Callahan, Sean"
A36,"Chivers, Tristram"
A37,"Valenstein, Elliot S."
A38,"Robbins, Stephen P."
A39,"Michalowski, Greg"
A40,"Aso, Michitake"
A41,"Ekins, Sean"
A42,"Traitler, Helmut"
A43,"Dubois, Michel"
A44,"Heikes, Keith"
A45,"Petiard, Vincent"
A46,"Zilberman, David"
A47,"Beegel, Justin"
A48,"Lowe, Doug"
A49,"Webster, Francis H."
A50,"Wood, Peter J."
A51,"Borgman, Christine L."
A52,"Duarte, Joe"
A53,"Hurwitz, Judith"
A54,"Kaufman, Marcia"
A55,"Bowles, Adrian"
A56,"Schmarzo, Bill"
A57,"Simon, Phil"
A58,"Stubbs, Evan"
A59,"Davis, Ned"
A60,"Buncel, Erwin"
A61,"Stairs, Robert A."
A62,"Girdhar, Paresh"
A63,"Moniz, Octo"
A64,"Stirzaker, David"
A65,"Shu,Tong"
A66,"Lai, Kin Keung"
A67,"Chen, Shou"
A68,"Zhang, Xizheng"
A69,"Wang, Shouyang"
A70,"Mirsky, Rebecca"
A71,"Schaufelberger, John"
A72,"Sadler, Ian"
A73,"Schniederjans, Marc J."
A74,"Hamaker, Jamie L."
A75,"Schniederjans, Ashlyn M."
A76,"Sharma, Vinit"
A77,"Richardson, Linda"
A78,"Hass, Kathleen B."
A79,"Mangan, John"
A80,"Lalwani, Chandra"
A81,Lê Huy Khoa
A82,"Pope, Kelly Richmond"
A83,Phạm Trúc Quỳnh
A84,"Campbell, Kurt M."
A85,Nguyễn Hồng Quang
A86,Nguyễn Văn Sảnh
A87,Nguyễn Tuấn Linh
A88,Trần Nam Tiến
A89,Phạm Ngọc Minh Trang
A90,Huỳnh Tâm Sáng
A91,Nguyễn Thu Trang
A92,Phan Khánh
A93,Nguyễn Ân Niên
A94,Nguyễn Ty Niên
A95,Bùi Thị Ngọc Lan
A96,Nguyễn Vương Tuấn
A97,Nguyễn Văn Hà
A98,Nguyễn Văn Trung
A99,Đỗ Minh Điền
A100,Phạm Văn Tình
A101,Trịnh Vĩnh Thường
A102,Nguyễn Phúc An
A103,"Plate, Tom"
A104,Nguyễn Hằng
A105,Bùi Việt Hà
A106,Thu Phương
A107,Nguyễn Thương Ngô
A108,Trần Thị Thúy
A109,Đống Thị Anh Đào
A110,Vũ Văn Vụ
A111,"Tracy, Brian"
A112,Quế Hương
A113,Nguyễn Phương Anh
A114,Đào Thị Yến Phi
A115,Đoàn Thị Ánh Tuyết
A116,Đoàn Thị Kim Thoa
A117,"Godin, Seth"
A118,Phan Thu
A119,"Vaynerchuk, Gary"
A120,Nguyễn Thu Hương
A121,Trần Thị Lệ
A122,Võ Văn Quang
A123,"Hennessy, Brittany"
A124,Linh Nguyên
A125,Nguyễn Xuân Vinh
A126,"McAfee, Andrew"
A127,Phạm Ngọc Thắng
A128,"Brynjolfsson, Erik"
A129,Nguyễn Văn Thâm
A130,Võ Kim Sơn
A131,Huỳnh Văn Sơn
A132,Lê Thị Hân
A133,Nguyễn Thị Uyên Thy
A134,Trần Thị Thu Mai
A135,Trần Vũ Thiệu
A136,Hà Văn Khối
A137,Hồ Sỹ Dự
A138,Trịnh Quốc Công
A139,Lê Ngọc Sơn
A140,Phan Trần Hồng Long
A141,Hồ Sỹ Mão
A142,Hồ Ngọc Dung
A143,Hoàng Công Tuấn
A144,"Magedanz, Thomas"
A145,"Bertin, Emmanuel"
A146,"Crespi, Noel"
A147,Lê Tiến Hưng
A148,Hoàng Thị Thu Hiền
A149,Nguyễn Thị Lan
A150,Trịnh Quốc Thắng
A151,Vũ Phương Thảo
A152,Nguyễn Lan Anh
A153,Vũ Ngọc Phương
A154,Nguyễn Huy Hùng
A155,Nguyễn Hà Linh
A156,Phạm Vũ Hà
A157,Nguyễn Văn Sơn
A158,Nguyễn Văn Nghĩa
A159,Nguyễn Thị Nhớ
A160,Đào Ngọc Hiếu
A161,"Dostaler, Gilles"
A162,Nguyễn Đôn Phước
A163,Lê Ngọc Lan
A164,Phạm Thị Thu Hằng
A165,Ngô Như Khoa
A166,Ôn Ngũ Minh
A167,Lê Minh Nguyệt
A168,Nguyễn Thị Huệ
A169,Nguyễn Đức Sơn
A170,Trần Quốc Thành
A171,Trần Thị Lệ Thu
A172,Đỗ Thị Hạnh Phúc
A173,Triệu Văn Cường
A174,Lê Minh Quân
A175,Lưu Minh Văn
A176,Nguyễn Nhật Thanh
A177,Phạm Thị Lý
A178,Vũ Thị Quỳnh
A179,Lại Bạch Thị Thu Hà
A180,Hoàng Thị Mỹ Hạnh
A181,Hà Thị Thu Thủy
A182,Phùng Ngọc Đĩnh
A183,Lương Hồng Nhược
A184,Lê Hoàng Minh
A185,Lê Thanh Đạo
A186,Bùi Thị Tuyết Đan
A187,Phạm Minh Sơn
A188,Nguyễn Thị Quế
A189,Phạm Lê Dạ Hương
A190,Đỗ Thị Hùng Thúy
A191,Nguyễn Thị Thu Hà
A192,Nguyễn Tiến Thảo
A193,Phan Công Nghĩa
A194,Lê Văn Nghinh
A195,Bùi Công Quang
A196,Hoàng Thanh Tùng
A197,Vân Anh
A198,Đàm Sao Mai
A199,Nguyễn Thị Trang
A200,Hồ Thiên Hoàng
A201,Lê Văn Nhất Hoài
A202,Lê Nguyên Đoan Huy
A203,Nguyễn Công Hà
A204,Hồ Huy Tựu
A205,Đại học Y Hà Nội
A206,Võ Văn Cần
A207,Hồ Đức Tuấn
A208,Bộ môn Khoa học Hàng hải
A209,Nguyễn Thái Vũ
A210,Lê Anh Tuấn
A211,Trần Văn Dũng
A212,Huỳnh Văn Vũ
A213,Hoàng Thu Thuỷ
A214,Nguyễn Thị Hà Trang
A215,Trương Thị Bích Hồng
A216,Nguyễn Thị Thúy
A217,Trần Thị Lê Trang
A218,Vũ Trọng Đại
A219,Nguyễn Văn Định
A220,Nguyễn Đình Khương
A221,Lê Cao Hoàng Hà
A222,Lê Thị Thu Nga
A223,Phạm Thị Hải Trang
A224,Phạm Thanh Nhựt
A225,Lê Minh Hoàng
A226,Nguyễn Hữu Mạnh
A227,Chu Thị Lê Dung
A228,Bộ môn hàng hải
A229,Nguyễn Đức Sĩ
A230,Trần Đức Phú
A231,Vũ Như Tân
A232,Trần Quang Huy
A233,Trần Quang Duy
A234,Nguyễn Thắng Xiêm
A235,Lê Quốc Thái
A236,Bạch Văn Sỹ
A237,Phạm Bá Linh
A238,Đặng Quốc Mỹ
A239,Lê Thanh Cao
A240,Nguyễn Hoài Long
A241,Nguyen Thanh Quang
A242,Le Chi Cong
A243,Lê Chí Công (cx)
A244,Nguyễn Thanh Quảng (cx)
A245,Bộ môn Quản trị du lịch Dịch vụ và Lữ hành
A246,Nguyễn Toàn Dũng
A247,Nguyễn Văn Ngọc
A248,Nguyễn Tuấn Ngọc
A249,Nguyễn Thị Nga
A250,Nguyễn Thị My
A251,Phạm Thành Thái
A252,Mai Văn Vương
A253,Phạm Thị Minh Hải
A254,Trịnh Thị Thu Hằng
A255,Vũ Khắc Hùng
A256,Nguyễn Văn Duy
A257,Nguyễn Thị Lài
A258,Lê Phương Chung
A259,Nguyễn Đức Toàn
A260,Trần Vĩ Hích
A261,Nguyễn Thị Thanh Thùy
A262,Mai Đức Thao
A263,Phạm Quốc Hùng
A264,Kim Jye Lee Chang
A265,Vũ Tấn Kiệt
A266,Trương Ngọc Phong
A267,Lê Thị Thúy Lan
A268,Lê Kim Long
A269,Bùi Đình Khánh
A270,Trần Thị Mai
A271,Phạm Thế Anh
A272,Đoàn Thị Tô Huỳnh
A273,Bùi Bích Xuân
A274,Cao Thị Ngọc Thanh
A275,Đặng Lê Phương Vy
A276,Lục Minh Diệp
A277,Tăng Mạnh Nhật
A278,Lê Đình Hải
A279,Phạm Thị Hồng Lệ
A280,Lý Phương Tài
A281,Thịnh Thị Thúy
A282,Phạm Thị Thu Thúy
A283,Nguyễn Phương Liên
A284,Đặng Thúy Bình
A285,Nguyễn Thị Hải Thanh
A286,Nguyễn Hồng Duyên
A287,Mai Thị Tuyết Nga
A288,Huỳnh Thị Ái Vân
A289,Trần Đình Khoa
A290,Lê Như Chính
A291,Khổng Trung Thắng
A292,Lương Thị Thu Thanh
A293,Hồ Thanh Tuyền
A294,Lương Công Trung
A295,Nguyễn Hữu Khang
A296,Nguyễn Văn Minh
A297,Châu Bích Liên
A298,Trần Văn Phước
A299,Phạm Mai Phước
A300,Trần Trọng Đạo
A301,Tô Văn Phương
A302,Cao Như Ý
A303,Lê Hoàn Chân
A304,Nguyễn Khắc Cường
A305,Lê Công Minh
A306,Phạm Hồng Mạnh
A307,Nguyễn Thị Sinh
A308,Quách Thị Khánh Ngọc
A309,Nguyễn Hoài Sơn
A310,Võ Thị Thùy Trang
A311,Nguyễn Thị Ngọc Trâm
A312,Lê Hằng Thanh Thiện
A313,Lý Minh Hiếu
A314,Nguyễn Ngọc Duy
A315,Vũ Minh Hiếu
A316,Trần Thị Phương Liên
A317,Nguyễn Thị Trâm Anh
A318,Ngô Đình Duy
A319,Trần Thị Ái Cẩm
A320,Nguyễn Quốc Cường
A321,Hà Việt Hùng
A322,Huỳnh Nguyễn Hồng Anh
A323,Nguyễn Lê Thanh Tuấn
A324,Nguyễn Ngọc Trang Tâm
A325,Nguyễn Thị Kim Anh
