id,name,type
I1,Boston [etc.] :McGraw-Hill Higher Education,publisher
I2,New York :McGraw-Hill,publisher
I3,Weinheim :Wiley-VCH,publisher
I4,Boston :Artech House,publisher
I5,"Hoboken, NJ :John Wiley & Sons, Inc.",publisher
I6,Weinheim :Wiley-VCH Verlag GmbH & Co. KGaA,publisher
I7,Boca Raton :CRC Press,publisher
I8,"Hoboken, NJ :Wiley",publisher
I9,"Mahwah, N.J. :L. Erlbaum Associates",publisher
I10,"Hoboken, N.J. :Wiley",publisher
I11,"Hoboken, N.J. :Wiley-Interscience",publisher
I12,Oxford :Oxford University Press,publisher
I13,"Hoboken, NJ :Wiley",publisher
I14,"Alexandria, Va. :Association for Supervision and Curriculum Development",publisher
I15,"Ft. Lauderdale, FL :J. Ross Pub.",publisher
I16,"New York, NY :Routledge",publisher
I17,"Hershey, PA :Business Science Reference",publisher
I18,Los Angeles :Sage,publisher
I19,"Hoboken, NJ :Wiley-Blackwell",publisher
I20,Ithaca :Cornell University Press,publisher
I21,Hoboken :Wiley,publisher
I22,"Hackensack, NJ :World Scientific",publisher
I23,New York :Free Press,publisher
I24,"Upper Saddle River, NJ :Prentice Hall",publisher
I25,Chapel Hill :The University of North Carolina Press,publisher
I26,"Hoboken, N.J. :Wiley-Interscience",publisher
I27,"Hoboken, NJ :Wiley",publisher
I28,"Hoboken, New Jersey :John Wiley & Sons, Inc.",publisher
I29,Indianapolis :John Wiley and Sons,publisher
I30,"St. Paul, Minn. :American Association of Cereal Chemists International",publisher
I31,"Cambridge, Massachusetts :The MIT Press",publisher
I32,"Hoboken, N.J. :Wiley Pub.",publisher
I33,"Indianapolis, IN :Wiley",publisher
I34,"Indianapolis :John Wiley & Sons, Inc.",publisher
I35,"Hoboken, New Jersey :John Wiley & Sons, Inc.",publisher
I36,"Hoboken, New Jersey :Wiley",publisher
I37,"Hoboken, New Jersey :John Wiley and Sons, Inc.",publisher
I38,"Hoboken, New Jersey :Wiley",publisher
I39,"Burlington, MA :Elsevier",publisher
I40,Oxford :Oxford University Press,publisher
I41,"Abingdon, Oxon :Routledge, Taylor & Francis Group",publisher
I42,"New York, NY :Routledge",publisher
I43,London :Sage,publisher
I44,"River Edge, N.J. :World Scientific",publisher
I45,"Hoboken, New Jersey :John Wiley & Sons",publisher
I46,New York :McGraw-Hill,publisher
I47,"Vienna, VA :Management Concepts",publisher
I48,"Southern Gate, Chichester, West Sussex, UK :Wiley",publisher
I49,TP Hồ Chí Minh :Tổng hợp TP Hồ Chí Minh,publisher
I50,Hà Nội :Công thương,publisher
I51,TP Hồ Chí Minh :Trẻ,publisher
