id,name
P1,McGraw-Hill Higher Education
P2,McGraw-Hill
P3,Wiley-VCH
P4,Artech House
P5,"John Wiley & Sons, Inc"
P6,Wiley-VCH Verlag GmbH & Co. KGaA
P7,CRC Press
P8,Wiley
P9,L. Erlbaum Associates
P10,Wiley-Interscience
P11,Association for Supervision and Curriculum Development
P12,J. Ross Pub
P13,Routledge
P14,Business Science Reference
P15,Sage
P16,Wiley-Blackwell
P17,World Scientific
P18,Free Press
P19,Prentice Hall
P20,John Wiley and Sons
P21,American Association of Cereal Chemists International
P22,The MIT Press
P23,Wiley Pub
P24,"John Wiley and Sons, Inc"
P25,Elsevier
P26,"Routledge, Taylor & Francis Group"
P27,John Wiley & Sons
P28,Management Concepts
P29,Tổng hợp TP Hồ Chí Minh
P30,Công thương
P31,Trẻ
P32,La động
P33,Khoa học và Kỹ thuật
P34,Bách khoa Hà Nội
P35,Giáo Dục
P36,Lao động
P37,Y học
P38,Thế giới
P39,Nông Nghiệp
P40,Xây dựng
P41,Thông tin Truyền thông
P42,Thông tin và truyền thông
P43,Khoa học - công nghệ - truyền thông
P44,Tri thức
P45,Khoa học tự nhiên và công nghệ
P46,Lý luận chính trị
P47,Giao thông vận tải
P48,Kinh tế - Tài chính
P49,Nông nghiệp
