author1_id,author2_id
A7,A8
A262,A264
A418,A419
A174,A175
A132,A134
A241,A242
A139,A158
A184,A186
A289,A290
A232,A239
A397,A398
A127,A128
A267,A268
A136,A140
A148,A149
A195,A196
A345,A346
A73,A75
A417,A418
A254,A255
A262,A263
A113,A115
A289,A291
A137,A141
A241,A243
A189,A190
A84,A86
A198,A200
A378,A379
A380,A381
A428,A429
A413,A415
A284,A285
A73,A74
A167,A169
A407,A408
A141,A160
A215,A217
A268,A315
A379,A380
A447,A448
A408,A409
A44,A46
A152,A153
A123,A124
A176,A177
A92,A94
A222,A223
A265,A266
A151,A156
A146,A147
A359,A362
A140,A142
A170,A172
A233,A237
A354,A355
A386,A388
A396,A398
A383,A384
A53,A55
A394,A395
A184,A185
A275,A276
A139,A142
A356,A358
A29,A31
A374,A375
A34,A35
A258,A278
A393,A395
A414,A415
A168,A170
A360,A362
A11,A12
A171,A172
A242,A243
A429,A430
A131,A134
A126,A127
A444,A446
A238,A239
A144,A147
A152,A155
A406,A407
A423,A424
A65,A66
A10,A9
A399,A400
A348,A349
A460,A461
A167,A168
A132,A133
A176,A178
A136,A137
A137,A143
A371,A372
A90,A91
A284,A335
A392,A395
A401,A402
A126,A128
A138,A142
A153,A156
A88,A90
A136,A143
A258,A277
A68,A69
A234,A235
A345,A347
A235,A237
A385,A388
A287,A288
A422,A423
A29,A30
A236,A237
A42,A46
A283,A285
A154,A156
A42,A44
A43,A46
A103,A104
A448,A449
A13,A14
A342,A344
A367,A370
A281,A282
A43,A44
A297,A298
A243,A244
A352,A353
A320,A321
A157,A158
A141,A143
A113,A114
A343,A344
A365,A366
A136,A138
A460,A462
A194,A196
A151,A152
A133,A134
A145,A146
A84,A85
A215,A216
A92,A93
A185,A186
A137,A140
A49,A50
A121,A122
A379,A381
A331,A332
A140,A141
A277,A278
A233,A236
A342,A343
A140,A157
A216,A217
A248,A249
A60,A61
A167,A171
A177,A179
A204,A312
A67,A68
A139,A141
A259,A261
A144,A145
A316,A317
A95,A97
A139,A157
A153,A155
A451,A452
A138,A139
A86,A87
A169,A171
A42,A43
A140,A159
A167,A170
A357,A358
A422,A424
A233,A234
A188,A189
A154,A155
A437,A439
A168,A172
A230,A231
A272,A273
A139,A159
A250,A251
A424,A425
A79,A80
A276,A292
A413,A414
A441,A442
A247,A274
A368,A370
A336,A337
A141,A158
A165,A166
A138,A141
A233,A235
A85,A86
A254,A256
A437,A438
A403,A405
A461,A462
A403,A404
A359,A360
A363,A365
A390,A391
A74,A75
A234,A236
A375,A377
A300,A301
A259,A260
A376,A377
A307,A308
A204,A269
A374,A377
A182,A183
A330,A331
A199,A201
A364,A365
A270,A271
A286,A288
A65,A68
A286,A287
A151,A153
A324,A325
A349,A351
A369,A370
A159,A160
A164,A165
A458,A459
A440,A442
A200,A201
A400,A402
A427,A429
A11,A13
A337,A340
A12,A13
A207,A223
A24,A25
A89,A90
A207,A209
A145,A147
A111,A112
A137,A142
A415,A416
A11,A14
A12,A14
A404,A405
A136,A142
A115,A116
A194,A195
A336,A338
A417,A419
A139,A143
A18,A19
A187,A191
A202,A203
A170,A171
A226,A227
A206,A227
A158,A159
A378,A380
A67,A69
A389,A391
A257,A258
A66,A68
A260,A261
A151,A155
A454,A455
A389,A390
A88,A91
A247,A302
A141,A142
A413,A416
A386,A387
A137,A138
A232,A238
A318,A319
A167,A172
A396,A397
A70,A71
A88,A89
A140,A160
A317,A326
A251,A252
A348,A351
A350,A351
A310,A311
A372,A373
A96,A97
A447,A449
A433,A434
A152,A154
A207,A222
A142,A143
A337,A339
A139,A140
A139,A160
A359,A361
A213,A214
A137,A139
A299,A300
A30,A31
A363,A366
A176,A179
A356,A357
A136,A139
A44,A45
A54,A55
A293,A294
A364,A366
A45,A46
A180,A181
A406,A409
A157,A159
A188,A191
A271,A323
A206,A226
A428,A430
A360,A361
A65,A69
A151,A154
A246,A247
A198,A199
A385,A387
A414,A416
A255,A256
A119,A120
A352,A354
A53,A54
A131,A133
A328,A329
A198,A201
A138,A140
A400,A401
A169,A170
A367,A368
A136,A141
A299,A301
A444,A445
A221,A223
A361,A362
A129,A130
A305,A306
A445,A446
A321,A322
A352,A355
A152,A156
A348,A350
A440,A441
A385,A386
A114,A116
A399,A402
A82,A83
A392,A393
A235,A236
A84,A87
A187,A188
A363,A364
A407,A409
A189,A191
A411,A412
A66,A69
A251,A280
A199,A200
A387,A388
A155,A156
A141,A157
A378,A381
A158,A160
A190,A191
A422,A425
A131,A132
A241,A244
A438,A439
A153,A154
A339,A340
A187,A190
A367,A369
A337,A338
A42,A45
A168,A171
A427,A430
A327,A329
A43,A45
A141,A159
A140,A143
A313,A314
A207,A212
A251,A279
A375,A376
A89,A91
A85,A87
A309,A310
A374,A376
A65,A67
A327,A328
A168,A169
A26,A27
A427,A428
A221,A222
A114,A115
A371,A373
A420,A421
A263,A264
A341,A344
A295,A296
A393,A394
A177,A178
A101,A102
A290,A291
A113,A116
A62,A63
A214,A253
A382,A383
A330,A332
A346,A347
A157,A160
A349,A350
A187,A189
A382,A384
A234,A237
A423,A425
A178,A179
A283,A284
A333,A334
A431,A432
A66,A67
A138,A143
A303,A304
A207,A221
A242,A244
A188,A190
A353,A354
A169,A172
A341,A343
A95,A96
A392,A394
A341,A342
A164,A166
A93,A94
A161,A162
A22,A23
A368,A369
A144,A146
A117,A118
A140,A158
A399,A401
A406,A408
A353,A355
A4,A5
