doc_id,category_id
D1,C1
D2,C1
D3,C1
D4,C1
D5,C1
D6,C1
D7,C1
D8,C1
D9,C1
D10,C1
D11,C1
D12,C1
D13,C1
D14,C1
D15,C1
D16,C1
D17,C1
D18,C1
D19,C1
D20,C1
D21,C1
D22,C1
D23,C1
D24,C1
D25,C1
D26,C1
D27,C1
D28,C1
D29,C1
D30,C1
D31,C1
D32,C1
D33,C1
D34,C1
D35,C1
D36,C1
D37,C1
D38,C1
D39,C1
D40,C1
D41,C1
D42,C1
D43,C1
D44,C1
D45,C1
D46,C1
D47,C1
D48,C1
D49,C1
D50,C1
D51,C1
D52,C1
D53,C1
D54,C1
D55,C1
D56,C1
D57,C1
D58,C1
D59,C1
D60,C1
D61,C1
D62,C1
D63,C1
D64,C1
D65,C1
D66,C2
D67,C1
D68,C1
D69,C1
D70,C1
D71,C1
D72,C2
D73,C1
D74,C1
D75,C1
D76,C2
D77,C2
D78,C2
D79,C2
D80,C2
D81,C1
D82,C2
D83,C1
D84,C1
D85,C2
D86,C1
D87,C2
D88,C2
D89,C2
D90,C2
D91,C2
D92,C2
D93,C2
D94,C2
D95,C2
D96,C2
D97,C1
D98,C2
D99,C2
D100,C1
D101,C1
D102,C2
D103,C2
D104,C1
D105,C1
D106,C1
D107,C1
D108,C1
D109,C1
D110,C1
D111,C1
D112,C3
D113,C1
D114,C3
D115,C1
D116,C1
D117,C1
D118,C1
D119,C1
D120,C1
D121,C1
D122,C1
D123,C1
D124,C1
D125,C1
D126,C3
D127,C3
D128,C3
D129,C1
D130,C3
D131,C1
D132,C3
D133,C1
D134,C1
D135,C1
D136,C2
D137,C1
D138,C1
D139,C1
D140,C3
D141,C3
D142,C3
D143,C3
D144,C1
D145,C1
D146,C1
D147,C1
D148,C1
D149,C1
D150,C1
D151,C4
D152,C4
D153,C4
D154,C4
D155,C4
D156,C4
D157,C4
D158,C4
D159,C4
D160,C4
D161,C4
D162,C4
D163,C4
D164,C4
D165,C4
D166,C4
D167,C4
D168,C4
D169,C4
D170,C4
D171,C4
D172,C4
D173,C4
D174,C4
D175,C4
D176,C4
D177,C4
D178,C4
D179,C4
D180,C4
D181,C4
D182,C4
D183,C4
D184,C4
D185,C4
D186,C4
D187,C4
D188,C4
D189,C4
D190,C4
D191,C4
D192,C4
D193,C4
D194,C4
D195,C4
D196,C4
D197,C4
D198,C4
D199,C4
D200,C4
D201,C5
D202,C5
D203,C5
D204,C5
D205,C5
D206,C5
D207,C5
D208,C5
D209,C5
D210,C5
D211,C5
D212,C5
D213,C5
D214,C5
D215,C5
D216,C5
D217,C5
D218,C5
D219,C5
D220,C5
D221,C5
D222,C5
D223,C5
D224,C5
D225,C5
D226,C5
D227,C5
D228,C5
D229,C5
D230,C5
D231,C5
D232,C5
D233,C5
D234,C5
D235,C5
D236,C5
D237,C5
D238,C5
D239,C5
D240,C5
D241,C5
D242,C5
D243,C5
D244,C5
D245,C5
D246,C5
D247,C5
D248,C5
D249,C5
D250,C5
