doc_id,institution_id
D1,I1
D2,I2
D3,I3
D4,I4
D5,I5
D6,I6
D7,I7
D8,I8
D9,I9
D10,I10
D11,I11
D12,I12
D13,I13
D14,I14
D15,I10
D16,I15
D17,I16
D18,I17
D19,I18
D20,I19
D21,I20
D22,I21
D23,I22
D24,I23
D25,I24
D26,I10
D27,I25
D28,I26
D29,I27
D30,I28
D31,I29
D32,I30
D33,I31
D34,I32
D35,I33
D36,I34
D37,I35
D38,I36
D39,I37
D40,I38
D41,I39
D42,I40
D43,I41
D44,I42
D45,I43
D46,I44
D47,I45
D48,I46
D49,I47
D50,I48
D51,I49
D52,I50
D53,I51
D54,I52
D55,I53
D56,I52
D57,I53
D58,I53
D59,I52
D60,I52
D61,I54
D62,I55
D63,I56
D64,I57
D65,I58
D66,I59
D67,I60
D68,I61
D69,I62
D70,I63
D71,I63
D72,I64
D73,I65
D74,I66
D75,I67
D76,I68
D77,I69
D78,I70
D79,I70
D80,I71
D81,I72
D82,I73
D83,I74
D84,I75
D85,I71
D86,I76
D87,I77
D88,I78
D89,I79
D90,I80
D91,I81
D92,I82
D93,I83
D94,I84
D95,I85
D96,I86
D97,I87
D98,I88
D99,I66
D100,I89
D101,I90
D102,I91
D103,I92
D104,I93
D105,I94
D106,I94
D107,I95
D108,I96
D109,I97
D110,I98
D111,I94
D112,I99
D113,I94
D114,I94
D115,I94
D116,I98
D117,I98
D118,I100
D119,I96
D120,I101
D121,I102
D122,I94
D123,I100
D124,I103
D125,I103
D126,I104
D127,I105
D128,I96
D129,I106
D130,I96
D131,I103
D132,I107
D133,I103
D134,I96
D135,I107
D136,I108
D137,I96
D138,I109
D139,I110
D140,I111
D141,I112
D142,I111
D143,I113
D144,I114
D145,I115
D146,I116
D147,I117
D148,I107
D149,I118
D150,I98
D151,I119
D152,I119
D153,I119
D154,I119
D155,I119
D156,I119
D157,I119
D158,I119
D159,I119
D160,I119
D161,I120
D162,I120
D163,I120
D164,I120
D165,I120
D166,I119
D167,I119
D168,I119
D169,I119
D170,I119
D171,I119
D172,I119
D173,I119
D174,I119
D175,I119
D176,I119
D177,I119
D178,I119
D179,I119
D180,I119
D181,I119
D182,I119
D183,I119
D184,I119
D185,I119
D186,I120
D187,I119
D188,I119
D189,I119
D190,I119
D191,I119
D192,I119
D193,I119
D194,I119
D195,I119
D196,I119
D197,I119
D198,I119
D199,I119
D200,I119
D201,I121
D202,I121
D203,I121
D204,I121
D205,I121
D206,I121
D207,I121
D208,I121
D209,I121
D210,I121
D211,I121
D212,I121
D213,I121
D214,I121
D215,I121
D216,I121
D217,I121
D218,I121
D219,I121
D220,I121
D221,I121
D222,I121
D223,I121
D224,I121
D225,I121
D226,I121
D227,I121
D228,I121
D229,I121
D230,I121
D231,I121
D232,I121
D233,I121
D234,I121
D235,I121
D236,I121
D237,I121
D238,I121
D239,I121
D240,I121
D241,I121
D242,I121
D243,I121
D244,I121
D245,I121
D246,I121
D247,I121
D248,I121
D249,I121
D250,I121
