doc_id,keyword_id
D1,K1
D1,K2
D2,K3
D3,K4
D3,K5
D3,K6
D4,K7
D4,K8
D4,K9
D5,K10
D6,K11
D6,K12
D7,K13
D7,K11
D8,K3
D9,K14
D9,K15
D9,K16
D10,K17
D10,K18
D11,K11
D11,K19
D12,K20
D13,K21
D13,K22
D13,K23
D14,K24
D14,K25
D15,K26
D15,K27
D15,K28
D16,K26
D16,K27
D16,K29
D17,K30
D17,K31
D18,K32
D18,K33
D18,K34
D19,K35
D19,K36
D20,K37
D20,K38
D20,K39
D21,K40
D21,K41
D22,K42
D22,K43
D22,K44
D23,K45
D23,K46
D23,K47
D24,K48
D24,K49
D24,K50
D25,K51
D26,K52
D26,K53
D27,K54
D27,K55
D28,K56
D28,K57
D28,K58
D29,K59
D29,K60
D29,K61
D30,K62
D30,K63
D30,K64
D31,K65
D32,K66
D32,K67
D33,K68
D33,K69
D33,K17
D34,K70
D34,K71
D35,K72
D35,K73
D35,K74
D36,K75
D36,K76
D36,K77
D37,K76
D37,K78
D37,K77
D38,K79
D38,K76
D38,K28
D39,K53
D39,K23
D40,K5
D40,K80
D40,K81
D41,K82
D42,K83
D42,K84
D43,K26
D43,K85
D44,K86
D44,K87
D44,K88
D45,K26
D46,K17
D47,K26
D47,K89
D47,K90
D48,K91
D48,K92
D49,K18
D50,K26
D51,K93
D51,K94
D52,K95
D52,K96
D52,K97
D53,K98
D53,K99
D54,K100
D54,K101
D54,K102
D55,K103
D55,K104
D56,K105
D56,K106
D57,K107
D57,K108
D58,K109
D58,K110
D58,K104
D59,K111
D59,K112
D59,K113
D60,K104
D61,K114
D61,K115
D61,K116
D62,K117
D62,K118
D63,K119
D64,K120
D64,K121
D65,K122
D65,K123
D66,K124
D66,K125
D67,K126
D68,K127
D68,K128
D69,K129
D70,K127
D70,K130
D71,K127
D71,K131
D71,K132
D72,K133
D73,K134
D73,K135
D73,K136
D74,K137
D74,K138
D74,K139
D75,K140
D75,K141
D75,K142
D76,K143
D77,K144
D78,K145
D79,K145
D80,K146
D80,K147
D81,K148
D81,K149
D82,K150
D83,K151
D83,K152
D84,K153
D84,K154
D85,K146
D85,K147
D86,K140
D87,K155
D88,K156
D89,K157
D89,K158
D90,K159
D91,K160
D91,K161
D92,K162
D92,K163
D92,K164
D93,K165
D94,K166
D94,K167
D94,K168
D95,K169
D96,K170
D97,K171
D97,K172
D98,K173
D99,K174
D100,K175
D101,K176
D101,K177
D102,K178
D102,K179
D103,K180
D104,K181
D105,K182
D105,K183
D106,K184
D106,K185
D107,K186
D107,K187
D108,K188
D109,K189
D109,K190
D110,K191
D111,K192
D112,K193
D112,K194
D113,K195
D113,K196
D113,K197
D114,K198
D114,K199
D114,K197
D115,K200
D115,K183
D115,K201
D116,K192
D117,K192
D118,K183
D119,K202
D120,K203
D121,K204
D122,K205
D122,K200
D122,K183
D123,K206
D124,K207
D124,K208
D125,K209
D125,K210
D126,K211
D126,K212
D127,K213
D127,K214
D128,K215
D128,K216
D129,K217
D129,K218
D130,K219
D130,K194
D131,K220
D132,K221
D133,K222
D133,K223
D134,K224
D135,K186
D135,K187
D136,K225
D137,K226
D137,K227
D138,K228
D139,K229
D140,K230
D141,K230
D142,K231
D143,K232
D144,K233
D144,K234
D145,K235
D145,K236
D146,K237
D147,K238
D147,K239
D148,K240
D149,K241
D149,K242
D150,K243
D151,K244
D151,K245
D152,K246
D153,K247
D153,K248
D153,K249
D154,K244
D154,K245
D155,K250
D155,K251
D156,K252
D157,K253
D158,K254
D159,K255
D159,K256
D160,K257
D160,K258
D161,K259
D161,K260
D162,K259
D163,K259
D163,K261
D164,K262
D164,K263
D165,K264
D166,K265
D166,K256
D167,K250
D167,K266
D168,K267
D168,K268
D169,K264
D170,K269
D170,K270
D171,K271
D172,K272
D172,K273
D173,K274
D174,K275
D174,K256
D174,K276
D175,K277
D175,K278
D176,K279
D177,K280
D177,K278
D178,K281
D178,K282
D179,K283
D179,K284
D180,K285
D180,K286
D181,K264
D181,K287
D182,K288
D183,K289
D183,K290
D184,K291
D185,K292
D185,K293
D186,K292
D186,K293
D187,K294
D188,K295
D188,K289
D188,K296
D189,K292
D190,K297
D191,K298
D191,K299
D192,K300
D192,K294
D193,K262
D194,K301
D194,K302
D195,K303
D196,K304
D197,K305
D197,K306
D198,K307
D199,K308
D200,K309
