doc_id,language_id
D1,L1
D2,L1
D3,L1
D4,L1
D5,L1
D6,L1
D7,L1
D8,L1
D9,L1
D10,L1
D11,L1
D12,L1
D13,L1
D14,L1
D15,L1
D16,L1
D17,L1
D18,L1
D19,L1
D20,L1
D21,L1
D22,L1
D23,L1
D24,L1
D25,L1
D26,L1
D27,L1
D28,L1
D29,L1
D30,L1
D31,L1
D32,L1
D33,L1
D34,L1
D35,L1
D36,L1
D37,L1
D38,L1
D39,L1
D40,L1
D41,L1
D42,L1
D43,L1
D44,L1
D45,L1
D46,L1
D47,L1
D48,L1
D49,L1
D50,L1
D51,L2
D52,L2
D53,L2
D54,L2
D55,L2
D56,L2
D57,L2
D58,L2
D59,L2
D60,L2
D61,L2
D62,L2
D63,L2
D64,L2
D65,L2
D66,L2
D67,L2
D68,L2
D69,L2
D70,L2
D71,L2
D72,L2
D73,L2
D74,L2
D75,L2
D76,L2
D77,L2
D78,L2
D79,L2
D80,L2
D81,L2
D82,L2
D83,L2
D84,L2
D85,L2
D86,L2
D87,L2
D88,L2
D89,L2
D90,L2
D91,L2
D92,L2
D93,L2
D94,L2
D95,L2
D96,L2
D97,L2
D98,L2
D99,L2
D100,L2
D101,L2
D102,L2
D103,L2
D104,L2
D105,L2
D106,L2
D107,L1
D108,L2
D109,L1
D110,L2
D111,L2
D112,L2
D113,L2
D114,L2
D115,L2
D116,L2
D117,L2
D118,L2
D119,L2
D120,L2
D121,L2
D122,L2
D123,L2
D124,L2
D125,L2
D126,L2
D127,L2
D128,L2
D129,L2
D130,L2
D131,L2
D132,L2
D133,L2
D134,L2
D135,L2
D136,L2
D137,L2
D138,L2
D139,L2
D140,L2
D141,L2
D142,L2
D143,L2
D144,L2
D145,L2
D146,L2
D147,L2
D148,L1
D149,L2
D150,L2
D151,L2
D152,L2
D153,L2
D154,L2
D155,L2
D156,L2
D157,L2
D158,L2
D159,L2
D160,L2
D161,L2
D162,L2
D163,L2
D164,L2
D165,L2
D166,L2
D167,L2
D168,L2
D169,L2
D170,L2
D171,L2
D172,L2
D173,L2
D174,L2
D175,L2
D176,L2
D177,L2
D178,L2
D179,L2
D180,L2
D181,L2
D182,L2
D183,L2
D184,L2
D185,L2
D186,L2
D187,L2
D188,L2
D189,L2
D190,L2
D191,L2
D192,L2
D193,L2
D194,L2
D195,L2
D196,L2
D197,L2
D198,L2
D199,L2
D200,L2
D201,L1
D202,L1
D203,L1
D204,L1
D205,L1
D206,L1
D207,L1
D208,L1
D209,L1
D210,L1
D211,L1
D212,L1
D213,L1
D214,L1
D215,L1
D216,L1
D217,L1
D218,L1
D219,L2
D220,L2
D221,L2
D222,L2
D223,L2
D224,L1
D225,L2
D226,L2
D227,L1
D228,L2
D229,L2
D230,L1
D231,L2
D232,L1
D233,L2
D234,L2
D235,L1
D236,L2
D237,L2
D238,L2
D239,L2
D240,L2
D241,L2
D242,L2
D243,L2
D244,L2
D245,L2
D246,L2
D247,L2
D248,L2
D249,L2
D250,L2
