doc_id,publisher_id,role
D1,P1,publisher
D2,P2,publisher
D48,P2,publisher
D3,P3,publisher
D4,P4,publisher
D36,P5,publisher
D30,P5,publisher
D37,P5,publisher
D5,P5,publisher
D6,P6,publisher
D7,P7,publisher
D35,P8,publisher
D40,P8,publisher
D13,P8,publisher
D15,P8,publisher
D22,P8,publisher
D26,P8,publisher
D29,P8,publisher
D38,P8,publisher
D8,P8,publisher
D10,P8,publisher
D50,P8,publisher
D9,P9,publisher
D28,P10,publisher
D11,P10,publisher
D14,P11,publisher
D16,P12,publisher
D17,P13,publisher
D44,P13,publisher
D18,P14,publisher
D45,P15,publisher
D19,P15,publisher
D20,P16,publisher
D46,P17,publisher
D23,P17,publisher
D24,P18,publisher
D25,P19,publisher
D31,P20,publisher
D32,P21,publisher
D33,P22,publisher
D34,P23,publisher
D39,P24,publisher
D41,P25,publisher
D43,P26,publisher
D47,P27,publisher
D49,P28,publisher
D51,P29,publisher
D54,P29,publisher
D55,P29,publisher
D56,P29,publisher
D57,P29,publisher
D58,P29,publisher
D59,P29,publisher
D60,P29,publisher
D52,P30,publisher
D53,P31,publisher
D61,P31,publisher
D63,P32,publisher
D144,P33,publisher
D145,P33,publisher
D146,P33,publisher
D64,P33,publisher
D76,P33,publisher
D65,P34,publisher
D78,P34,publisher
D79,P34,publisher
D67,P35,publisher
D139,P36,publisher
D68,P36,publisher
D73,P36,publisher
D104,P37,publisher
D69,P37,publisher
D70,P38,publisher
D71,P38,publisher
D72,P39,publisher
D74,P40,publisher
D80,P40,publisher
D85,P40,publisher
D99,P40,publisher
D75,P41,publisher
D81,P42,publisher
D84,P43,publisher
D86,P44,publisher
D92,P45,publisher
D96,P46,publisher
D100,P47,publisher
D103,P48,publisher
D136,P49,publisher
D138,P49,publisher
