doc1_id,doc2_id
D113,D114
D105,D115
D111,D116
D111,D117
D116,D117
D105,D118
D115,D118
D105,D122
D115,D122
D118,D122
D112,D130
D107,D135
D140,D141
D151,D154
D161,D162
D161,D163
D162,D163
D159,D166
D155,D167
D165,D169
D159,D174
D166,D174
D175,D177
D165,D181
D169,D181
D185,D186
D183,D188
D185,D189
D186,D189
D187,D192
D164,D193
D252,D251
D3,D40
D13,D39
D26,D39
D15,D45
D16,D45
D43,D45
D33,D46
D10,D46
D15,D16
D15,D43
D16,D43
D10,D33
D36,D37
D36,D38
D15,D38
D37,D38
D11,D6
D6,D7
D11,D7
D2,D8
D45,D47
D15,D47
D16,D47
D43,D47
D10,D49
D45,D50
D15,D50
D16,D50
D43,D50
D47,D50
D55,D58
D55,D60
D58,D60
D68,D70
D68,D71
D70,D71
D78,D79
D80,D85
D75,D86
