doc_id,university_id,role
D42,U1,university
D12,U1,university
D21,U2,university
D27,U3,university
D62,U4,university
D91,U4,university
D97,U4,university
D66,U5,university
D82,U5,university
D77,U6,university
D83,U7,university
D87,U7,university
D88,U8,university
D93,U8,university
D89,U9,university
D94,U9,university
D147,U10,university
D90,U10,university
D98,U10,university
D95,U11,university
D101,U12,university
D102,U13,university
D107,U14,university
D108,U14,university
D109,U14,university
D110,U14,university
D112,U14,university
D116,U14,university
D117,U14,university
D119,U14,university
D120,U14,university
D121,U14,university
D124,U14,university
D125,U14,university
D126,U14,university
D127,U14,university
D128,U14,university
D129,U14,university
D130,U14,university
D131,U14,university
D132,U14,university
D133,U14,university
D134,U14,university
D135,U14,university
D137,U14,university
D140,U14,university
D141,U14,university
D142,U14,university
D143,U14,university
D148,U14,university
D149,U14,university
D150,U14,university
D151,U14,university
D152,U14,university
D153,U14,university
D154,U14,university
D155,U14,university
D156,U14,university
D157,U14,university
D158,U14,university
D159,U14,university
D160,U14,university
D161,U14,university
D162,U14,university
D163,U14,university
D164,U14,university
D165,U14,university
D166,U14,university
D167,U14,university
D168,U14,university
D169,U14,university
D170,U14,university
D171,U14,university
D172,U14,university
D173,U14,university
D174,U14,university
D175,U14,university
D176,U14,university
D177,U14,university
D178,U14,university
D179,U14,university
D180,U14,university
D181,U14,university
D182,U14,university
D183,U14,university
D184,U14,university
D185,U14,university
D186,U14,university
D187,U14,university
D188,U14,university
D189,U14,university
D190,U14,university
D191,U14,university
D192,U14,university
D193,U14,university
D194,U14,university
D195,U14,university
D196,U14,university
D197,U14,university
D198,U14,university
D199,U14,university
D200,U14,university
D251,U14,university
D252,U14,university
