subject1_id,subject2_id
S32,S33
S104,S109
S68,S69
S62,S63
S8,S9
S14,S16
S22,S23
S166,S168
S93,S94
S101,S102
S32,S34
S127,S131
S46,S47
S70,S71
S40,S41
S11,S12
S96,S97
S127,S132
S267,S268
S146,S147
S213,S214
S76,S79
S140,S141
S289,S295
S197,S198
S198,S199
S124,S125
S269,S270
S222,S223
S4,S6
S26,S90
S183,S205
S122,S123
S157,S158
S7,S9
S100,S102
S194,S219
S127,S130
S76,S78
S298,S299
S49,S50
S28,S79
S183,S201
S76,S77
S17,S69
S186,S187
S259,S261
S17,S68
S257,S258
S244,S245
S247,S248
S56,S58
S138,S139
S103,S104
S200,S201
S272,S273
S207,S208
S283,S284
S42,S44
S241,S242
S275,S276
S114,S115
S60,S61
S75,S76
S56,S57
S100,S101
S256,S276
S305,S306
S80,S81
S195,S197
S162,S163
S196,S197
S26,S28
S250,S266
S115,S116
S57,S58
S4,S5
S289,S290
S26,S29
S250,S251
S45,S47
S59,S60
S131,S132
S183,S200
S52,S53
S277,S278
S141,S142
S42,S43
S111,S112
S178,S179
S166,S167
S264,S287
S5,S80
S137,S138
S95,S96
S127,S128
S162,S164
S72,S73
S117,S118
S256,S275
S26,S85
S259,S260
S37,S38
S112,S113
S66,S67
S209,S210
S86,S88
S235,S236
S134,S135
S262,S263
S21,S23
S215,S216
S167,S168
S114,S116
S256,S265
S45,S46
S137,S139
S98,S99
S217,S218
S278,S280
S294,S300
S247,S249
S153,S154
S63,S64
S72,S74
S148,S149
S59,S61
S104,S110
S91,S92
S134,S136
S54,S55
S33,S34
S28,S76
S197,S199
S26,S27
S255,S256
S23,S53
S292,S293
S24,S25
S238,S239
S95,S97
S5,S6
S87,S88
S171,S172
S105,S106
S233,S234
S1,S2
S301,S302
S73,S74
S83,S84
S120,S121
S7,S8
S17,S18
S77,S78
S11,S19
S226,S227
S285,S286
S11,S13
S163,S164
S37,S39
S48,S49
S135,S136
S15,S16
S160,S161
S195,S196
S211,S212
S30,S31
S86,S87
S184,S185
S35,S36
S14,S15
S151,S152
S289,S296
S75,S77
S43,S44
S62,S64
S248,S249
S109,S110
S107,S108
S21,S22
S189,S190
S193,S194
S295,S296
S38,S39
S281,S282
S200,S205
S5,S81
S89,S90
S26,S89
S27,S28
S48,S50
S140,S142
S176,S177
S111,S113
S182,S183
S27,S29
