"Position","Title and Authors","Resource Link","Thumbnail Image"
1,"Phân tích mức độ sẵn sàng chuyển đổi số của doanh nghiệp nhỏ và vừa trên địa bàn tỉnh Khánh Hòa /Nguyễn Toàn Dũng; Nguyễn Văn Ngọc: GVHD [02-04-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=16&material_type=2&dmd_id=239579","https://thuvien.ntu.edu.vn/ntukiposdata5/anhbia/01biathacsithumbimage.jpg"
2,"Nâng cao chất lượng dịch vụ cấp giấy phép sử dụng tần số và thiết bị vô tuyến điện tại Trung tâm Tần số vô tuyến điện khu vực VII – Cục Tần số vô tuyến điện /Nguyễn Tuấn Ngọc; ... [01-04-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=16&material_type=2&dmd_id=239387","https://thuvien.ntu.edu.vn/ntukiposdata5/anhbia/01biathacsithumbimage.jpg"
3,"Đánh giá dự án phát triển sản xuất nông, lâm nghiệp bền vững, phát huy tiềm năng, thế mạnh của các vùng miền để sản xuất hàng hóa theo chuỗi giá trị tại xã Ba Cụm Bắc, huyện K ... [01-04-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=16&material_type=2&dmd_id=239385","https://thuvien.ntu.edu.vn/ntukiposdata5/anhbia/01biathacsithumbimage.jpg"
4,"Các nhân tố ảnh hưởng đến khả năng chuyển đổi số của doanh nghiệp vừa và nhỏ trên địa bàn thành phố Nha Trang, tỉnh Khánh Hòa /Mai Văn Vương; Phạm Thành Thái: GVHD [01-04-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=16&material_type=2&dmd_id=239384","https://thuvien.ntu.edu.vn/ntukiposdata5/anhbia/01biathacsithumbimage.jpg"
5,"Đánh giá ảnh hưởng của sinh khối nấm men Saccharomyces cerevisiae trong dịch thủy phân rong sụn Kappaphycus alvarezii đến giai đoạn nuôi lưu hàu Thái Bình Dương /Nguyễn Thị Hà ... [24-03-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=16&material_type=2&dmd_id=239274","https://thuvien.ntu.edu.vn/ntukiposdata5/anhbia/01biathacsithumbimage.jpg"
6,"Phân lập, tuyển chọn chủng Parvovirus tiềm năng cho sản xuất vắc xin phòng bệnh khô thai trên lợn /Trịnh Thị Thu Hằng; Vũ Khắc Hùng, Nguyễn Văn Duy: GVHD [24-03-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=16&material_type=2&dmd_id=239273","https://thuvien.ntu.edu.vn/ntukiposdata5/anhbia/02biatiensithumbimage.jpg"
7,"Đánh giá thực trạng và xây dựng giải pháp kiểm soát vi sinh vật gây bệnh tại các cơ sở sản xuất nước đá dùng liền tỉnh Khánh Hòa /Nguyễn Thị Lài; Lê Phương Chung: GVHD [24-03-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=16&material_type=2&dmd_id=239272","https://thuvien.ntu.edu.vn/ntukiposdata5/anhbia/01biathacsithumbimage.jpg"
8,"Nghiên cứu ảnh hưởng của phương pháp dẫn truyền vaccine SiV lên khả năng kháng vi khuẩn Streptococcus iniae ở cá chẽm (Lates calcarifer Bloch, 1790) /Nguyễn Đức Toàn; Nguyễn T ... [24-03-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=16&material_type=2&dmd_id=239271","https://thuvien.ntu.edu.vn/ntukiposdata5/anhbia/01biathacsithumbimage.jpg"
9,"Nghiên cứu lựa chọn và ứng dụng một số chủng vi tảo trong sản xuất giống tôm he (Penaeus) tại Việt Nam /Mai Đức Thao; Phạm Quốc Hùng, Kim Jye Lee Chang: GVHD [24-03-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=16&material_type=2&dmd_id=239270","https://thuvien.ntu.edu.vn/ntukiposdata5/anhbia/02biatiensithumbimage.jpg"
10,"Các nhân tố ảnh hưởng đến thu nhập của nông hộ trồng cà phê tại huyện M'Drắk, tỉnh Đắk Lắk /Vũ Tấn Kiệt; Trương Ngọc Phong: GVHD [18-03-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=16&material_type=2&dmd_id=239131","https://thuvien.ntu.edu.vn/ntukiposdata5/anhbia/01biathacsithumbimage.jpg"
11,"Hoàn thiện công tác quản lý thuế thu nhập doanh nghiệp tại Chi cục thuế thành phố Nha Trang, tỉnh Khánh Hòa /Lê Thị Thúy Lan; Lê Kim Long: GVHD [18-03-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=16&material_type=2&dmd_id=239130","https://thuvien.ntu.edu.vn/ntukiposdata5/anhbia/01biathacsithumbimage.jpg"
12,"Các nhân tố ảnh hưởng đến sự tuân thủ thuế của các doanh nghiệp có vốn đầu tư nước ngoài tại địa bàn tỉnh Khánh Hòa /Bùi Đình Khánh; Hồ Huy Tựu: GVHD [18-03-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=16&material_type=2&dmd_id=239129","https://thuvien.ntu.edu.vn/ntukiposdata5/anhbia/01biathacsithumbimage.jpg"
13,"Hoàn thiện công tác quản lý thuế đối với hộ kinh doanh tại Chi cục Thuế khu vực nam Khánh Hòa /Trần Thị Mai; Phạm Thế Anh: GVHD [18-03-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=16&material_type=2&dmd_id=239128","https://thuvien.ntu.edu.vn/ntukiposdata5/anhbia/01biathacsithumbimage.jpg"
