id,title,alternative_title,type,year,pages,image_url,file_url,abstract
D1,Food and beverage service :A training manual /Suzanne Weekes,,book,2013.0,"xii, 409 p. :ill. ;24 cm",,,
D2,Smart antennas for wireless communications :With matlab /Frank B. Gross,,book,2005.0,270 p. :ill. ;23 cm,,,
D3,Reactive intermediates :MS investigations in solution /edited by Leonardo S. Santos,,book,2010.0,"xxiv, 317 p. :ill. ;25 cm",,,
D4,"Antennas and propagation for body-centric wireless communications /Peter S. Hall, Yang Hao, editors",,book,2006.0,"xiii, 291 p. :ill. ;26 cm",,,
D5,Economics for dummies /Sean Masaki Flynn,,book,2018.0,"xiii, 410 pages :illustrations ;24 cm",,,
D6,Analyzing biomolecular interactions by mass spectrometry /edited by Jeroen Kool and Wilfried M.A. Niessen,,book,2015.0,378 p. :ill. ;25 cm,,,
D7,"Mass spectrometry basics /Christopher G. Herbert, Robert A.W. Johnstone",,book,2003.0,474 p. :ill. ;26 cm,,,
D8,"Low-cost smart antennas /Qi Luo and Steven (Shichang) Gao, Wei Liu, Chao Gu",,book,2019.0,268 p.,,,
D9,Understanding reading :A psycholinguistic analysis of reading and learning to read /Frank Smith,,book,2004.0,"xii, 374 p. :ill. ;24 cm",,,
D10,Optimizing and assessing information technology :Improving business project execution /K. Scott Proctor,,book,2011.0,"xvi, 233 p. :ill. ;24 cm",,,
D11,Integrated strategies for drug discovery using mass spectrometry /edited by Mike S. Lee,,book,2005.0,"xvii, 550 p. :ill. ;24 cm",,,
D12,Exercises in synthetic organic chemistry /Chiara Ghiron and Russell J. Thomas,,book,1997.0,"xv, 123 p. :ill. ;30 cm",,,
D13,Writing securities research :A best practice guide /Jeremy Bolland,,book,2010.0,"xlviii, 300 p. :ill. ;24 cm",,,
D14,The truth about testing :An educator's call to action /W. James Popham,,book,2001.0,"iv, 167 p. ;24 cm",,,
D15,"Strategic global sourcing best practices /Fred Sollish, John Semanik",,book,2011.0,"x, 229 p. :ill. ;24 cm",,,
D16,"Spend analysis :The window into strategic sourcing /Kirit Pandit, H. Marmanis",,book,2008.0,"xxi, 249 p. :ill. ;24 cm",,,
D17,"Promoting property :Insight, experience and best practice /edited by Penny Norton and Liz Male",,book,2020.0,214 p.,,,
D18,"Smart manufacturing innovation and transformation :Interconnection and intelligence /Zongwei Luo, editor",,book,2014.0,"xxv, 407 pages ;29 cm",,,
D19,"Inclusive education :International policy and practice /Ann Cheryl Armstrong, Derrick Armstrong, Ilektra Spandagou",,book,2010.0,"xiii, 162 p. :ill. ;24 cm",,,
D20,Current best practice in interventional cardiology /edited by Bernhard Meier,,book,2010.0,"x, 219 p. :ill. ;26 cm",,,
D21,The geography of money /Benjamin J. Cohen,,book,1998.0,"xv, 229 p. ;24 cm",,,
D22,"The big data-driven business :How to use big data to win customers, beat competitors, and boost profits /Russell Glass, Sean Callahan",,book,2014.0,214 p.,,,
D23,A guide to chalcogen-nitrogen chemistry /Tristram Chivers,,book,2005.0,"xix, 318 p. :ill. ;24 cm",,,
D24,Blaming the brain :The truth about drugs and mental health /Elliot S. Valenstein,,book,1988.0,"xi, 292 p. :ill. ;24 cm",,,
D25,The truth about managing people ... and nothing but the truth /Stephen P. Robbins,,book,2003.0,211 p.,,,
D26,Attacking currency trends :How to anticipate and trade big moves in the forex market /Greg Michalowski,,book,2011.0,"xi, 287 p. :ill. ;24 cm",,,
D27,"Rubber and the making of Vietnam :An ecological history, (1897-1975) /Michitake Aso",,book,2018.0,"xvii, 405 pages :ill. ;24 cm",,,
D28,Computer applications in pharmaceutical research and development /edited by Sean Ekins,,book,2006.0,"xix, 805 p. :ill. ;25 cm",,,
D29,"Megatrends in food and agriculture :Technology, water use and nutrition /Helmut Traitler, Michel Dubois, Keith Heikes, Vincent Pétiard, David Zilberman",,book,2018.0,"xvi, 320 pages :illustrations ;24 cm",,,
D30,Infographics for dummies /Justin Beegel,,book,2014.0,"x, 306 pages :illustrations ;24 cm",,,
D31,Networking for dummies /Doug Lowe,,book,2020.0,454 p. :ill.,,,
D32,Oats :Chemistry and technology /edited by Francis H. Webster and Peter J. Wood,,book,2011.0,"xii, 376 p. :ill. ;29 cm",,,
D33,"Big data, little data, no data :Scholarship in the networked world /Christine L. Borgman",,book,2015.0,"xxv, 383 pages ;24 cm",,,
D34,Trading futures for dummies /Joe Duarte,,book,2008.0,"xviii, 364 p. :ill. ;24 cm",,,
D35,"Cognitive computing and big data analytics /Judith Hurwitz, Marcia Kaufman, Adrian Bowles",,book,2015.0,"xxi, 266 pages :illustrations ;24 cm",,,
D36,Big data MBA :Driving business strategies with data science /Bill Schmarzo,,book,2016.0,"xxvii, 283 pages :illustrations ;23 cm",,,
D37,Too big to ignore :The business case for big data /Phil Simon,,book,2013.0,231 p. :ill.,,,
D38,"Big data, big innovation :Enabling competitive differentiation through business analytics /Evan Stubbs",,book,2014.0,"xvii, 232 pages :illustrations ;24 cm",,,
D39,Being right or making money /Ned Davis,,book,2014.0,"xvii, 231 pages :ill. ;23 cm",,,
D40,"Solvent effects in chemistry /Erwin Buncel, Robert A. Stairs",,book,2016.0,"xi, 227 pages :illustrations ;25 cm",,,
D41,"Practical centrifugal pumps :Design, operation and maintenance /Paresh Girdhar, Octo Moniz",,book,2005.0,250 p. :ill.,,,
D42,Stochastic processes and models /David Stirzaker,,book,2005.0,"vi, 331 p. :ill. ;25 cm",,,
D43,"Managing risk of supply chain disruptions /Tong Shu, Shou Chen, Kin Keung Lai, Xizheng Zhang, and Shouyang Wang",,book,2014.0,199 p. ;24 cm,,,
D44,Professional ethics for the construction industry /Rebecca Mirsky and John Schaufelberger,,book,2015.0,"x, 140 pages :illustrations ;24 cm",,,
D45,Logistics and supply chain integration /Ian Sadler,,book,2007.0,"xxii, 259 p. :ill. ;25 cm",,,
D46,"Information technology investment :Decision-making methodology /Marc J. Schniederjans, Jamie L. Hamaker, Ashlyn M. Schniederjans",,book,2004.0,"xxvi, 389 p. :ill. ;24 cm",,,
D47,The cloud-based demand-driven supply chain /Vinit Sharma,,book,2019.0,311 p. :ill.,,,
D48,"Perfect selling :Open the door, close the deal /Linda Richardson",,book,2008.0,"xxx, 174 p. :ill. ;19 cm",,,
D49,Managing complex projects :A new model /Kathleen B. Hass,,book,2009.0,"xxiv, 298 p. ;25 cm",,,
D50,"Global logistics and supply chain management /John Mangan, Chandra Lalwani",,book,2016.0,"xvii, 393 pages :illustrations ;25 cm",,,
D51,Bạn muốn trở thành phiên dịch giỏi? - Cẩm nang kỹ năng nghề phiên dịch :Tất cả mọi bí quyết và nguyên tắc thành công cho nghề phiên dịch đều nằm ở trong quyển sách này /Lê Huy Khoa,Cẩm nang kỹ năng nghề phiên dịch :Tất cả mọi bí quyết và nguyên tắc thành công cho nghề phiên dịch đều nằm ở trong quyển sách này,book,2023.0,328 tr. :Minh họa ;21 cm,,,
D52,Tiền bẩn :Lật tẩy những cú lừa thế kỷ và thủ thuật thao túng tài chính chấn động nước Mỹ /Kelly Richmond Pope; Phạm Trúc Quỳnh (dịch),"Fool me once : scams, stories, and secrets from the trillion-dollar fraud industry",book,2023.0,"350 tr. :Minh họa ;20,5 cm",,,
D53,Xoay trục :Tương lai nghệ thuật lãnh đạo của Mỹ ở Châu Á /Kurt M. Campbell; Nguyễn Văn Sảnh và những người khác dịch và hiệu đính,The Pivot : the future of American statecraft in Asia,book,2017.0,491 tr. ;23 cm,,,
