"Position","Book Title and Author","Book Details Link","Book Thumbnail"
1,"Bạn muốn trở thành phiên dịch giỏi? - Cẩm nang kỹ năng nghề phiên dịch :Tất cả mọi bí quyết và nguyên tắc thành công cho nghề phiên dịch đều nằm ở trong quyển sách này /Lê Huy ... [30-03-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=239324","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/400_ngonngu/410_ngonnguhoc/cnkynangnghephiendich_lehuykhoa/0cnkynangnghephiendich_lehuykhoa_001_thumbimage.jpg"
2,"Tiền bẩn :Lật tẩy những cú lừa thế kỷ và thủ thuật thao túng tài chính chấn động nước Mỹ /Kelly Richmond Pope; Phạm Trúc Quỳnh (dịch) [27-03-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=239318","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/300_khoahocxahoi/360_vandexahoi_cuute_doanthe/tienban_kellyrichmondpope/0tienban_kellyrichmondpope_001_thumbimage.jpg"
3,"Xoay trục :Tương lai nghệ thuật lãnh đạo của Mỹ ở Châu Á /Kurt M. Campbell; Nguyễn Văn Sảnh và những người khác dịch và hiệu đính [27-03-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=239317","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/300_khoahocxahoi/320_chinhtrihoc/xoaytruc_kurtmcampbell/0xoaytruc_kurtmcampbell_001_thumbimage.jpg"
4,"Góc nhìn cận cảnh :Thế giới và Biển Đông sau phán quyết của Tòa Trọng tài /Trần Nam Tiến (Chủ biên) và những người khác [18-03-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=239082","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/300_khoahocxahoi/320_chinhtrihoc/gocnhincancanh_trannamtien/0gocnhincancanh_trannamtien_001_thumbimage.jpg"
5,"Lịch sử thủy lợi Việt Nam /Phan Khánh (Chủ biên), Nguyễn Ân Niên, Nguyễn Ty Niên [18-03-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=239064","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/300_khoahocxahoi/330_kinhtehoc/lichsuthuyloivn_phankhanh/0lichsuthuyloivn_phankhanh_001_thumbimage.jpg"
6,"Lý thuyết về dịch thuật :Một dẫn nhập ngắn /Bùi Thị Ngọc Lan, Nguyễn Văn Hà, Nguyễn Vương Tuấn [18-03-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=239057","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/400_ngonngu/410_ngonnguhoc/lythuyetvedichthuat_buithingoclan/0lythuyetvedichthuat_buithingoclan_001_thumbimage.jpg"
7,"Triết học tổng quát :Vấn đề triết học /Nguyễn Văn Trung [18-03-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=239002","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/100_triethoc_tamlyhoc/100_triethoc_tamlyhoc/triethoctongquatvandetriethoc_nguyenvantrung/0triethoctongquatvandetriethoc_nguyenvantrung_001_thumbimage.jpg"
8,"Huế và triều Nguyễn, theo dấu thời gian /Đỗ Minh Điền [18-03-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=239000","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/900_dialy_lichsu/950_lichsuchaua_viendong/huevatrieunguyentheodauthoigian_dominhdien/0huevatrieunguyentheodauthoigian_dominhdien_001_thumbimage.jpg"
9,"Tiếng Việt chữ nghĩa - Hồn vía dân gian /Phạm Văn Tình [18-03-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=238999","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/400_ngonngu/490_ngonngukhac/tiengvietchunghiahonviadangian_phamvantinh/0tiengvietchunghiahonviadangian_phamvantinh_001_thumbimage.jpg"
10,"Việt Nam sử luận :Góc nhìn đa chiều /Trịnh Vĩnh Thường; Nguyễn Phúc An (dịch và khảo chú) [18-03-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=238997","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/900_dialy_lichsu/950_lichsuchaua_viendong/vnsuluangocnhindachieu_trinhvinhthuong/0vnsuluangocnhindachieu_trinhvinhthuong_001_thumbimage.jpg"
11,"Đối thoại với Lý Quang Diệu :Nhà nước công dân Singapore : cách thức xây dựng một quốc gia /Tom Plate; Nguyễn Hằng dịch [04-03-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=237839","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/300_khoahocxahoi/320_chinhtrihoc/doithoaivoilyquangdieu_tomplate/0doithoaivoilyquangdieu_tomplate_001_thumbimage.jpg"
12,"Python cơ bản /Bùi Việt Hà [03-03-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=237625","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/000_tongquat/000_tongquat/pythoncoban_buivietha/0pythoncoban_buivietha_001_thumbimage.jpg"
13,"Luật An toàn thực phẩm quy định mới về thanh tra, xử phạt vi phạm hành chính trong lĩnh vực an toàn thực phẩm ở các cơ quan, doanh nghiệp, hộ kinh doanh, nhà hàng, khách sạn, ... [03-03-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=237624","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/300_khoahocxahoi/340_luathoc/luatantoanthucphanm_thuphuong/0luatantoanthucphanm_thuphuong_001_thumbimage.jpg"
14,"Lý thuyết điều khiển tự động thông thường và hiện đại :Quyển 2: Hệ xung số /Nguyễn Thương Ngô [03-03-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=237623","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/600_khoahocungdung_congnghe/620_congnghe_hoatdonglienhe/lythuyetdieukhientudongthongthuong_quyen2_hexungso_nguyenthuongngo/0lythuyetdieukhientudongthongthuong_quyen2_hexungso_nguyenthuongngo_001_thumbimage.jpg"
15,"Phân tích công cụ /Trần Thị Thúy [03-03-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=237622","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/500_tunhien_toan/540_hoahoc_khoahoclienhe/phantichcongcu_tranthithuy/0phantichcongcu_tranthithuy_001_thumbimage.jpg"
16,"Giáo trình kỹ thuật bao bì thực phẩm /Đống Thị Anh Đào [03-03-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=237619","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/600_khoahocungdung_congnghe/660_kythuathoahoc/giaotrinhkythuatbaobithucpham_dongthianhdao/0giaotrinhkythuatbaobithucpham_dongthianhdao_001_thumbimage.jpg"
17,"Sinh lý thực vật ứng dụng /Vũ Văn Vụ [03-03-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=237617","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/500_tunhien_toan/570_sinhhoc_khoahocdoisong/sinhlyhocthucvatungdung_vuvanvu_1999/0sinhlyhocthucvatungdung_vuvanvu_1999_001_thumbimage.jpg"
18,"Trở thành người bán hàng xuất sắc :21 cách tuyệt vời để bán được nhiều hơn, nhanh hơn, dễ dàng hơn trong những thị trường khó khăn /Brian Tracy; Quế Hương dịch [02-03-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=237615","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/600_khoahocungdung_congnghe/650_quanly_dichvuphuthuoc/trothanhnguoibanhangxuatsac_briantracy/0trothanhnguoibanhangxuatsac_briantracy_001_thumbimage.jpg"
19,"Dinh dưỡng học /Đào Thị Yến Phi (chủ biên) và các tác giả khác [02-03-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=237598","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/600_khoahocungdung_congnghe/610_yhoc/dinhduonghoc_daothiphiyen/zzcover_thumbimage.jpg"
20,"Thế mới là marketing :Sẽ chẳng ai biết đến bạn, trừ khi bạn học được cách tự tỏa sáng /Seth Godin; Phan Thu dịch [02-03-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=237585","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/600_khoahocungdung_congnghe/650_quanly_dichvuphuthuoc/themoilamarketing_sethgodin/0themoilamarketing_sethgodin_001_thumbimage.jpg"
21,"Thế giới ảo thương hiệu thật :Bí quyết xây dựng thương hiệu cá nhân thành công trên nền tảng mạng xã hội /Gary Vaynerchuk; Nguyễn Thu Hương dịch [02-03-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=237576","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/600_khoahocungdung_congnghe/650_quanly_dichvuphuthuoc/thegioiaothuonghieuthat_garyvaynerchuk/0thegioiaothuonghieuthat_garyvaynerchuk_001_thumbimage.jpg"
22,"Giáo trình hóa sinh thực vật /Trần Thị Lệ (Chủ biên), Võ Văn Quang [02-03-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=237570","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/500_tunhien_toan/570_sinhhoc_khoahocdoisong/giaotrinhhoasinhthucvat_tranthile/0giaotrinhhoasinhthucvat_tranthile_001_thumbimage.jpg"
23,"Influencer :Xây dựng thương hiệu cá nhân trong kỷ nguyên 4.0 /Brittany Hennessy; Linh Nguyên dịch [27-02-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=237460","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/600_khoahocungdung_congnghe/650_quanly_dichvuphuthuoc/influencerxdthcntrongkynguyen40_brittanyhennessy/0influencerxdthcntrongkynguyen40_brittanyhennessy_001_thumbimage.jpg"
